timestep,person_id,from_location_id,from_location_type,to_location_id,to_location_type,movement_reason,person_age,person_sex,is_infectious,is_symptomatic,is_masked,from_occupancy,to_occupancy,to_capacity
58860,68,13,facility,6,facility,normal,63,1,False,False,False,17,2,80
58860,24,20,facility,6,facility,normal,54,0,False,False,False,7,3,80
58860,167,6,facility,6,facility,normal,49,1,False,False,False,3,3,80
58860,31,13,facility,10,facility,normal,58,1,False,False,False,16,11,200
58860,78,30,facility,10,facility,normal,39,1,False,False,True,10,12,200
58860,50,10,facility,10,facility,normal,11,1,False,False,False,12,12,200
58860,3,10,facility,10,facility,normal,31,1,False,False,False,12,12,200
58860,75,10,facility,10,facility,normal,22,0,False,False,True,12,12,200
58860,137,10,facility,10,facility,normal,69,1,False,False,True,12,12,200
58860,44,34,facility,10,facility,normal,26,1,False,False,True,2,13,200
58860,140,10,facility,10,facility,normal,67,0,False,False,True,13,13,200
58860,97,10,facility,10,facility,normal,74,1,False,False,False,13,13,200
58860,48,10,facility,10,facility,normal,69,0,False,False,True,13,13,200
58860,148,10,facility,10,facility,normal,26,0,False,False,True,13,13,200
58860,170,91,household,10,facility,normal,65,0,False,False,True,2,14,200
58860,53,13,facility,11,facility,normal,22,1,False,False,True,15,7,30
58860,87,41,household,11,facility,normal,20,0,False,False,False,0,8,30
58860,147,11,facility,11,facility,normal,44,1,False,False,False,8,8,30
58860,119,11,facility,11,facility,normal,36,1,False,False,True,8,8,30
58860,111,11,facility,11,facility,normal,69,0,False,False,False,8,8,30
58860,35,11,facility,11,facility,normal,62,0,False,False,False,8,8,30
58860,33,11,facility,11,facility,normal,10,0,False,False,False,8,8,30
58860,90,17,facility,11,facility,normal,70,1,False,False,True,0,9,30
58860,76,12,facility,12,facility,normal,23,1,False,False,False,9,9,150
58860,30,20,facility,12,facility,normal,57,0,False,False,True,6,10,150
58860,153,12,facility,12,facility,normal,64,1,False,False,True,10,10,150
58860,39,12,facility,12,facility,normal,7,0,False,False,False,10,10,150
58860,133,20,facility,12,facility,normal,73,1,False,False,True,5,11,150
58860,164,12,facility,12,facility,normal,28,1,False,False,False,11,11,150
58860,102,36,facility,12,facility,normal,15,1,False,False,False,0,12,150
58860,12,12,facility,12,facility,normal,31,0,False,False,True,12,12,150
58860,29,13,household,12,facility,normal,72,1,False,False,True,1,13,150
58860,37,12,facility,12,facility,normal,42,0,False,False,True,13,13,150
58860,132,21,facility,13,facility,normal,69,0,False,False,False,2,16,100
58860,11,13,facility,13,facility,normal,3,1,False,False,False,16,16,100
58860,131,13,facility,13,facility,normal,42,1,False,False,True,16,16,100
58860,46,13,facility,13,facility,normal,70,0,False,False,False,16,16,100
58860,43,13,facility,13,facility,normal,31,0,False,False,True,16,16,100
58860,7,30,facility,13,facility,normal,72,1,False,False,True,9,17,100
58860,121,13,facility,13,facility,normal,38,1,False,False,False,17,17,100
58860,41,13,facility,13,facility,normal,73,0,False,False,False,17,17,100
58860,110,13,facility,13,facility,normal,1,1,False,False,False,17,17,100
58860,85,13,facility,13,facility,normal,31,0,False,False,False,17,17,100
58860,52,13,facility,13,facility,normal,21,0,False,False,False,17,17,100
58860,144,13,facility,13,facility,normal,32,0,False,False,False,17,17,100
58860,146,2,facility,13,facility,normal,42,0,False,False,True,15,18,100
58860,168,13,facility,13,facility,normal,59,1,False,False,True,18,18,100
58860,117,54,household,13,facility,normal,12,0,False,False,True,0,19,100
58860,20,10,household,13,facility,normal,32,0,False,False,True,0,20,100
58860,162,22,facility,13,facility,normal,30,1,False,False,True,1,21,100
58860,104,14,facility,14,facility,normal,11,0,False,False,False,14,14,40
58860,1,14,facility,14,facility,normal,21,1,False,False,False,14,14,40
58860,174,14,facility,14,facility,normal,26,0,False,False,False,14,14,40
58860,113,14,facility,14,facility,normal,34,0,False,False,True,14,14,40
58860,99,14,facility,14,facility,normal,58,1,False,False,True,14,14,40
58860,61,14,facility,14,facility,normal,15,0,False,False,True,14,14,40
58860,138,14,facility,14,facility,normal,18,0,False,False,True,14,14,40
58860,155,14,facility,14,facility,normal,16,1,False,False,False,14,14,40
58860,163,14,facility,14,facility,normal,31,1,False,False,True,14,14,40
58860,125,14,facility,14,facility,normal,17,1,False,False,False,14,14,40
58860,22,14,facility,14,facility,normal,20,0,False,False,False,14,14,40
58860,18,14,facility,14,facility,normal,25,0,False,False,False,14,14,40
58860,114,14,facility,14,facility,normal,25,1,False,False,True,14,14,40
58860,108,14,facility,14,facility,normal,21,0,False,False,False,14,14,40
58860,107,15,facility,15,facility,normal,5,1,False,False,True,1,1,25
58860,45,12,facility,16,facility,normal,3,0,False,False,False,12,9,90
58860,101,13,facility,16,facility,normal,72,1,False,False,False,20,10,90
58860,91,16,facility,16,facility,normal,60,0,False,False,False,10,10,90
58860,86,16,facility,16,facility,normal,27,1,False,False,True,10,10,90
58860,150,16,facility,16,facility,normal,22,0,False,False,True,10,10,90
58860,8,16,facility,16,facility,normal,23,0,False,False,False,10,10,90
58860,65,16,facility,16,facility,normal,57,0,False,False,True,10,10,90
58860,109,16,facility,16,facility,normal,24,1,False,False,True,10,10,90
58860,5,16,facility,17,facility,normal,39,1,False,False,False,9,1,40
58860,17,10,facility,17,facility,normal,2,0,False,False,False,13,2,40
58860,128,18,facility,18,facility,normal,63,0,False,False,True,3,3,60
58860,105,18,facility,18,facility,normal,36,0,False,False,False,3,3,60
58860,171,18,facility,18,facility,normal,44,0,False,False,True,3,3,60
58860,124,10,facility,20,facility,normal,64,1,False,False,False,12,6,150
58860,159,25,facility,20,facility,normal,19,1,False,False,False,6,7,150
58860,172,11,facility,20,facility,normal,43,0,False,False,True,8,8,150
58860,72,30,facility,20,facility,normal,16,0,False,False,True,8,9,150
58860,66,13,facility,20,facility,normal,60,1,False,False,False,19,10,150
58860,21,13,facility,20,facility,normal,34,1,False,False,True,18,11,150
58860,118,20,facility,20,facility,normal,38,0,False,False,True,11,11,150
58860,161,2,facility,20,facility,normal,45,1,False,False,True,14,12,150
58860,59,13,facility,20,facility,normal,31,1,False,False,True,17,13,150
58860,9,20,facility,20,facility,normal,21,1,False,False,False,13,13,150
58860,0,20,facility,20,facility,normal,21,0,False,False,False,13,13,150
58860,151,20,facility,20,facility,normal,19,1,False,False,True,13,13,150
58860,73,12,facility,21,facility,normal,23,1,False,False,False,11,3,100
58860,38,21,facility,21,facility,normal,38,1,False,False,False,3,3,100
58860,47,21,facility,21,facility,normal,72,1,False,False,True,3,3,100
58860,42,3,facility,22,facility,normal,70,1,False,False,False,6,2,40
58860,149,22,facility,22,facility,normal,29,1,False,False,True,2,2,40
58860,120,25,facility,25,facility,normal,38,0,False,False,False,6,6,50
58860,134,25,facility,25,facility,normal,15,1,False,False,True,6,6,50
58860,175,12,facility,25,facility,normal,60,0,False,False,True,10,7,50
58860,139,25,facility,25,facility,normal,18,1,False,False,True,7,7,50
58860,156,25,facility,25,facility,normal,25,1,False,False,True,7,7,50
58860,23,11,household,25,facility,normal,23,1,False,False,False,0,8,50
58860,80,3,facility,25,facility,normal,38,1,False,False,True,5,9,50
58860,64,30,facility,25,facility,normal,17,0,False,False,True,7,10,50
58860,77,25,facility,25,facility,normal,43,0,False,False,True,10,10,50
58860,54,25,facility,25,facility,normal,16,0,False,False,False,10,10,50
58860,26,12,household,25,facility,normal,5,0,False,False,False,0,11,50
58860,67,28,facility,28,facility,normal,63,0,False,False,True,3,3,40
58860,25,28,facility,28,facility,normal,47,1,False,False,False,3,3,40
58860,16,30,facility,28,facility,normal,8,0,False,False,True,6,4,40
58860,94,29,facility,29,facility,normal,48,1,False,False,True,1,1,60
58860,96,37,facility,29,facility,normal,74,0,False,False,False,1,2,60
58860,60,30,facility,30,facility,normal,15,0,False,False,False,6,6,70
58860,103,30,facility,30,facility,normal,14,1,False,False,True,6,6,70
58860,166,30,facility,30,facility,normal,73,1,False,False,True,6,6,70
58860,92,30,facility,30,facility,normal,64,1,False,False,True,6,6,70
58860,122,30,facility,30,facility,normal,1,1,False,False,True,6,6,70
58860,130,20,facility,32,facility,normal,40,0,False,False,True,12,1,40
58860,95,33,facility,33,facility,normal,17,0,False,False,True,1,1,30
58860,56,34,facility,34,facility,normal,38,0,False,False,False,2,2,50
58860,106,34,facility,35,facility,normal,38,1,False,False,True,1,3,100
58860,142,35,facility,35,facility,normal,33,0,False,False,True,3,3,100
58860,4,35,facility,35,facility,normal,35,0,False,False,False,3,3,100
58860,116,53,household,36,facility,normal,72,1,False,False,False,0,1,30
58860,143,8,facility,37,facility,normal,30,1,False,False,True,0,2,60
58860,69,4,facility,37,facility,normal,17,0,False,False,True,9,3,60
58860,81,4,facility,37,facility,normal,29,0,False,False,True,8,4,60
58860,62,28,facility,37,facility,normal,20,1,False,False,True,3,5,60
58860,127,37,facility,37,facility,normal,27,1,False,False,False,5,5,60
58860,32,16,facility,37,facility,normal,9,1,False,False,True,8,6,60
58860,19,30,facility,37,facility,normal,29,1,False,False,False,5,7,60
58920,1,14,facility,1,household,normal,21,1,False,False,False,13,1,-1
58920,3,10,facility,2,household,normal,31,1,False,False,False,11,1,-1
58920,5,17,facility,3,household,normal,39,1,False,False,False,1,1,-1
58920,6,4,household,4,household,normal,70,0,False,False,False,1,1,-1
58920,31,10,facility,14,household,normal,58,1,False,False,False,10,1,-1
58920,42,22,facility,20,household,normal,70,1,False,False,False,1,1,-1
58920,55,2,facility,26,household,normal,16,1,False,False,True,13,1,-1
