timestep_min,timestep_hr,new_infections,cumulative
0,0.0,28,28
60,1.0,46,74
120,2.0,43,117
180,3.0,23,140
240,4.0,20,160
300,5.0,8,168
360,6.0,10,178
420,7.0,3,181
480,8.0,2,183
540,9.0,1,184
660,11.0,2,186
720,12.0,1,187
780,13.0,2,189
