infection_location_type,infection_location_id,infection_events
facility,13,27
facility,14,26
facility,10,24
facility,2,14
facility,12,12
facility,16,10
facility,25,8
facility,20,6
facility,3,5
household,10,4
facility,21,4
facility,30,4
household,6,4
household,4,4
household,89,2
household,9,2
household,8,2
household,7,2
household,5,2
household,2,2
