infection_location_type,infection_location_id,infections
facility,14,27
facility,13,24
facility,2,20
facility,21,15
facility,10,14
facility,12,14
facility,16,11
facility,4,8
facility,25,7
facility,30,5
household,38,5
facility,11,5
facility,3,4
facility,22,3
facility,28,3
household,1278,3
facility,20,2
facility,18,2
household,1492,2
household,1357,2
household,537,2
household,491,2
household,442,2
household,277,2
household,179,2
household,93,2
household,90,2
household,1494,2
facility,31,2
household,89,1
household,87,1
household,91,1
household,86,1
household,85,1
household,215,1
household,84,1
household,49,1
facility,37,1
facility,36,1
facility,6,1
household,1476,1
facility,24,1
household,88,1
